"Number","Player","Team","GP","MIN","PTS","FGM","FGA","FG","3PM","3PA","3P","FTM","FTA","FT","ORB","DRB","REB","AST","STL","BLK","TOV","PF","Score","AVG","SearchKey"
"1","Jayson Tatum","BOS","8","276.7","240","77","160","0.481","33","93","0.355","53","68","0.779","5","54","59","41","15","4","20","19","300","38",
"2","Anthony Davis","LAL","7","254.4","228","80","140","0.571","2","12","0.167","66","84","0.786","15","66","81","21","11","12","17","8","296","42",
"3","Nikola Jokic","DEN","7","263.8","207","75","138","0.543","17","32","0.531","40","49","0.816","28","60","88","72","10","8","27","14","313","45",
"4","Luka Doncic","DAL","7","260.6","202","68","170","0.4","23","71","0.324","43","56","0.768","4","54","58","52","7","3","18","25","276","39",
"5","LaMelo Ball","CHA","7","228.4","200","69","148","0.466","32","82","0.39","30","35","0.857","6","26","32","40","10","2","38","33","196","28",
"6","Cam Thomas","BRK","8","272","199","66","156","0.423","19","62","0.306","48","52","0.923","4","21","25","25","8","0","20","16","209","26",
"7","Brandon Ingram","NOP","8","260.5","197","78","156","0.5","20","53","0.377","21","24","0.875","10","40","50","36","7","5","24","23","235","29",
"8","Damian Lillard","MIL","7","250.9","193","57","126","0.452","27","69","0.391","52","58","0.897","7","25","32","47","3","2","23","14","226","32",
"9","Trae Young","ATL","8","288.2","191","56","143","0.392","23","75","0.307","56","62","0.903","8","27","35","88","10","2","39","15","236","30",
"10","Anthony Edwards","MIN","7","259.7","191","66","141","0.468","36","80","0.45","23","36","0.639","1","38","39","21","6","3","22","13","207","30",
"11","Kevin Durant","PHX","7","274.9","190","68","124","0.548","17","39","0.436","37","45","0.822","1","45","46","24","5","10","23","13","214","31",
"12","Giannis Antetokounmpo","MIL","6","211.1","186","76","120","0.633","0","3","0","34","64","0.531","11","63","74","38","3","3","18","21","262","44",
"13","Cade Cunningham","DET","8","286.8","186","73","151","0.483","18","48","0.375","22","29","0.759","7","44","51","59","5","7","39","19","218","27",
"14","Donovan Mitchell","CLE","8","238.5","185","70","145","0.483","25","62","0.403","20","26","0.769","5","18","23","34","12","1","21","18","200","25",
"15","Tyrese Maxey","PHI","6","246.2","181","62","152","0.408","21","71","0.296","36","44","0.818","0","20","20","26","9","4","11","17","205","34",
"16","Shai Gilgeous-Alexander","OKC","7","224.1","180","65","137","0.474","13","46","0.283","37","40","0.925","7","39","46","48","12","7","15","14","244","35",
"17","DeMar DeRozan","SAC","7","265.4","178","63","119","0.529","6","17","0.353","46","53","0.868","5","25","30","28","14","4","14","11","208","30",
