"Number","Player","Team","GP","MIN","PTS","FGM","FGA","FG","3PM","3PA","3P","FTM","FTA","FT","ORB","DRB","REB","AST","STL","BLK","TOV","PF","Score","AVG","SearchKey"
"1","Anthony Davis","LAL","5","179.7","153","53","97","0.546","2","8","0.25","45","59","0.763","13","48","61","15","8","10","11","6","207","41",
"2","Jayson Tatum","BOS","5","176.9","151","51","105","0.486","23","61","0.377","26","35","0.743","4","31","35","26","10","3","9","15","194","39",
"3","Paolo Banchero","ORL","5","182.2","145","48","97","0.495","11","32","0.344","38","59","0.644","12","32","44","28","3","4","11","13","195","39",
"4","Trae Young","ATL","5","191.3","141","39","97","0.402","15","50","0.3","48","53","0.906","6","20","26","58","8","2","29","10","167","33",
"5","Cam Thomas","BRK","5","175.6","137","43","99","0.434","14","40","0.35","37","40","0.925","4","17","21","13","6","0","12","13","147","29",
"6","Jaylen Brown","BOS","5","179.5","129","44","111","0.396","12","39","0.308","29","37","0.784","7","30","37","18","8","2","12","12","160","32",
"7","Cade Cunningham","DET","5","183.5","128","48","102","0.471","14","35","0.4","18","21","0.857","4","24","28","37","5","6","28","14","137","27",
"8","Nikola Jokic","DEN","4","156.2","126","47","82","0.573","11","20","0.55","21","27","0.778","16","33","49","37","5","5","12","10","188","47",
"9","Tyrese Maxey","PHI","4","167.8","126","42","111","0.378","11","48","0.229","31","38","0.816","0","15","15","18","5","3","8","12","143","36",
"10","Dennis Schroder","BRK","5","176.9","123","41","75","0.547","21","38","0.553","20","23","0.87","0","10","10","41","4","0","14","16","146","29",
"11","Anthony Edwards","MIN","4","156.8","120","41","90","0.456","22","53","0.415","16","25","0.64","1","24","25","14","2","2","16","11","127","32",
"12","Donovan Mitchell","CLE","5","150.8","119","45","90","0.5","16","42","0.381","13","18","0.722","3","10","13","25","10","1","15","12","127","25",
"13","Kevin Durant","PHX","4","159.8","116","40","75","0.533","10","22","0.455","26","32","0.813","0","28","28","12","4","7","13","9","130","32",
"14","Giannis Antetokounmpo","MIL","4","138.7","115","44","71","0.62","0","3","0","27","49","0.551","4","43","47","25","1","2","17","12","153","38",
"15","Zach LaVine","CHI","5","174.5","115","39","76","0.513","17","39","0.436","20","25","0.8","2","30","32","14","4","3","20","7","121","24",
"16","Jalen Green","HOU","4","137.8","115","38","88","0.432","19","46","0.413","20","24","0.833","3","12","15","11","3","1","8","6","125","31",
"17","LaMelo Ball","CHA","4","135.6","114","36","82","0.439","19","48","0.396","23","25","0.92","4","20","24","28","5","2","23","18","120","30",
"18","Damian Lillard","MIL","4","141.7","112","32","68","0.471","12","39","0.308","36","39","0.923","5","19","24","25","2","1","13","6","135","34",
"19","Brandon Ingram","NOP","5","162.2","112","45","88","0.511","12","29","0.414","10","11","0.909","7","25","32","20","4","2","12","13","140","28",
"20","Luka Doncic","DAL","4","149.1","107","36","99","0.364","11","41","0.268","24","30","0.8","3","34","37","28","4","3","11","14","150","38",
"21","LeBron James","LAL","5","167.9","106","38","78","0.487","10","26","0.385","20","26","0.769","1","33","34","33","1","3","17","10","139","28",
"22","Buddy Hield","GSW","5","120.3","106","38","77","0.494","24","48","0.5","6","6","1","4","14","18","13","5","2","5","9","127","25",
"23","Jaden Ivey","DET","5","167.8","106","38","80","0.475","12","28","0.429","18","24","0.75","8","14","22","18","6","0","12","14","122","24",
"24","Shai Gilgeous-Alexander","OKC","4","129.3","104","38","89","0.427","9","33","0.273","19","21","0.905","6","24","30","24","10","6","5","7","148","37",
"25","Norman Powell","LAC","4","135.9","104","38","74","0.514","15","35","0.429","13","15","0.867","2","11","13","6","2","2","5","6","113","28",
"26","Pascal Siakam","IND","5","166.8","103","41","75","0.547","11","24","0.458","10","16","0.625","12","26","38","26","4","1","7","10","153","31",
"27","Anfernee Simons","POR","5","169.5","103","33","85","0.388","13","42","0.31","24","26","0.923","0","8","8","25","4","0","16","7","104","21",
"28","Nikola Vucevic","CHI","5","165.7","101","38","76","0.5","11","24","0.458","14","15","0.933","15","40","55","17","1","3","10","16","153","31",
"29","Domantas Sabonis","SAC","4","144.8","97","36","53","0.679","6","11","0.545","19","25","0.76","9","35","44","22","3","2","12","14","139","35",
"30","Derrick White","BOS","5","165.9","96","33","60","0.55","18","38","0.474","12","13","0.923","4","15","19","20","4","5","4","10","127","25",
"31","Evan Mobley","CLE","5","145.5","96","38","67","0.567","4","8","0.5","16","18","0.889","7","34","41","11","6","10","11","16","126","25",
"32","Kyrie Irving","DAL","4","141.2","95","36","76","0.474","14","26","0.538","9","11","0.818","5","10","15","21","7","2","6","10","119","30",
"33","Coby White","CHI","5","168.3","95","33","76","0.434","16","47","0.34","13","17","0.765","1","21","22","22","7","1","12","9","115","23",
"34","James Harden","LAC","4","145","94","27","76","0.355","10","37","0.27","30","35","0.857","4","26","30","45","5","1","25","11","119","30",
"35","Desmond Bane","MEM","5","132.5","94","35","72","0.486","13","32","0.406","11","12","0.917","5","22","27","14","5","3","9","15","117","23",
"36","Gradey Dick","TOR","5","155","94","33","68","0.485","11","32","0.344","17","19","0.895","3","4","7","8","5","3","6","16","97","19",
"37","Julius Randle","MIN","4","140","93","34","56","0.607","10","16","0.625","15","21","0.714","8","22","30","20","2","0","12","12","119","30",
"38","Jerami Grant","POR","5","165.2","93","32","84","0.381","15","42","0.357","14","18","0.778","3","21","24","9","5","9","12","12","102","20",
"39","DeMar DeRozan","SAC","4","147.7","92","32","58","0.552","2","7","0.286","26","31","0.839","3","13","16","16","8","1","6","4","112","28",
"40","Devin Booker","PHX","4","144","92","29","65","0.446","13","31","0.419","21","24","0.875","3","8","11","17","4","2","9","13","102","26",
"41","Jalen Brunson","NYK","4","128.4","91","33","75","0.44","7","18","0.389","18","22","0.818","2","9","11","23","0","0","7","6","111","28",
"42","Chet Holmgren","OKC","4","125.7","90","34","58","0.586","6","18","0.333","16","23","0.696","9","35","44","11","6","14","12","9","121","30",
"43","Karl-Anthony Towns","NYK","4","127","90","31","53","0.585","8","11","0.727","20","21","0.952","8","37","45","8","2","2","5","14","133","33",
"44","Jordan Poole","WAS","4","121.5","90","28","60","0.467","20","35","0.571","14","14","1","2","4","6","24","12","1","13","12","94","24",
"45","Jarrett Allen","CLE","5","144.4","89","34","43","0.791","0","0","0","21","26","0.808","11","44","55","6","4","9","4","4","142","28",
"46","Tyler Herro","MIA","4","129.9","89","31","65","0.477","16","37","0.432","11","12","0.917","1","18","19","21","3","1","7","6","115","29",
"47","Franz Wagner","ORL","5","129.8","89","33","64","0.516","11","28","0.393","12","13","0.923","5","16","21","17","7","2","9","10","109","22",
"48","Darius Garland","CLE","5","134.6","89","34","67","0.507","15","33","0.455","6","6","1","1","7","8","30","7","2","14","16","99","20",
"49","DeAaron Fox","SAC","4","144.4","86","32","69","0.464","7","24","0.292","15","16","0.938","3","15","18","30","6","0","14","13","106","26",
