Owner,Rank,Y!Adp,Value,Name,Team,Pos,Draft,Pick,Round
Cris,3,4,2721.35,Joel Embiid,PHI,C,2014 (Pick 3),2,1
Cris,11,53,2346.27,Julius Randle,NYK,F,2014 (Pick 7),13,2
Cris,20,38,2145.48,De'Aaron Fox,SAC,G,2017 (Pick 5),27,3
Cris,23,25,2115.23,Desmond Bane,MEM,G,2020 (Pick 30),55,4
Cris,25,11,2101.88,Kevin Durant,PHO,F,2007 (Pick 2),16,5
Cris,35,50,1982.58,Deandre Ayton,POR,C,2018 (Pick 1),30,6
Cris,58,25,1721.57,Victor Wembanyama,SAS,F,2023 (Pick 1),41,7
Cris,61,79,1679.24,Terry Rozier,CHA,G,2015 (Pick 16),58,8
Cris,66,69,1645.07,Tyler Herro,MIA,G,2019 (Pick 13),69,9
Cris,80,125,1564.87,RJ Barrett,NYK,F,2019 (Pick 3),86,10
Cris,89,75,1502.77,Klay Thompson,GSW,G,2011 (Pick 11),83,11
Cris,102,48,1425.25,Chet Holmgren,OKC,C,2023 (Pick 2),44,12
Cris,167,120,1014.78,Ben Simmons,BKN,F,2016 (Pick 1),72,13
Ed,4,3,2573.57,Luka Doncic,DAL,G,2018 (Pick 3),5,1
Ed,7,17,2413.96,Trae Young,ATL,G,2018 (Pick 5),10,2
Ed,8,20,2381.4,Mikal Bridges,BKN,F,2018 (Pick 10),19,3
Ed,12,50,2343.27,Zach LaVine,CHI,G,2014 (Pick 13),24,4
Ed,15,38,2247.67,Jalen Brunson,NYK,G,2018 (Pick 33),33,5
Ed,26,42,2092.52,Evan Mobley,CLE,F,2021 (Pick 3),38,6
Ed,33,57,2015.14,Tyrese Maxey,PHI,G,2020 (Pick 21),89,7
Ed,40,31,1926.11,Paul George,LAC,F,2010 (Pick 10),52,8
Ed,41,52,1913.71,Brandon Ingram,NOR,F,2016 (Pick 2),47,9
Ed,57,92,1728.71,Jabari Smith Jr,HOU,F,2022 (Pick 3),80,10
Ed,74,90,1589.37,Tobias Harris,PHI,F,2011 (Pick 19),89,11
Ed,75,54,1589.07,Nicolas Claxton,BKN,C,2019 (Pick 31),66,12
Ed,77,82,1580.27,Jakob Poeltl,TOR,C,2016 (Pick 9),61,13
Eymard,13,15,2292.76,Domantas Sabonis,SAC,C,2016 (Pick 11),4,1
Eymard,16,7,2243.99,Tyrese Haliburton,IND,G,2020 (Pick 12),18,2
Eymard,22,24,2124.02,Karl-Anthony Towns,MIN,F,2015 (Pick 1),11,3
Eymard,27,16,2080.53,Devin Booker,PHO,G,2015 (Pick 13),25,4
Eymard,45,41,1852.16,Jamal Murray,DEN,G,2016 (Pick 7),60,5
